UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2024,999,335893089,166215506,169677583,125761178,126645618,22099241,23862294,2285531,2240955,10408703,11226005,460820,448462,5200033,5254249,130416322,131325496,24513515,26344755,3728700,3740629,12353591,13154989,904464,893672,132928269,137116207,96858968,98417118,20372720,22093856,1202275,1235940,10052158,10871502,329798,325231,4112350,4172560,100540737,102131956,22264329,24048457,2205712,2300181,11697818,12502730,675453,673739,33287237,32561376,28902210,28228500,1726521,1768438,1083256,1005015,356545,354503,131022,123231,1087683,1081689,29875585,29193540,2249186,2296298,1522988,1440448,655773,652259,229011,219933
R,1,2024,0,3650081,1865121,1784960,1287314,1228146,302537,294421,33993,32597,107173,101290,7349,6924,126755,121582,1403888,1339941,372708,361863,57669,55377,153980,146027,16049,15192,1354112,1292048,874339,829425,263567,256630,12329,11731,99321,93909,4071,3918,100485,96435,967287,918599,320023,310922,27239,26104,137954,130858,10365,9917,511009,492912,412975,398721,38970,37791,21664,20866,7852,7381,3278,3006,26270,25147,436601,421342,52685,50941,30430,29273,16026,15169,5684,5275
R,1,2024,1,3679522,1879689,1799833,1294975,1235700,304205,296329,34420,33057,111036,105151,7477,7051,127576,122545,1412290,1348358,374737,364183,58250,56026,158239,150362,16232,15385,1362387,1300767,876963,832126,264800,258138,12352,11746,103083,97637,4176,3993,101013,97127,970381,921921,321448,312694,27308,26191,142053,135013,10511,10038,517302,499066,418012,403574,39405,38191,22068,21311,7953,7514,3301,3058,26563,25418,441909,426437,53289,51489,30942,29835,16186,15349,5721,5347
R,1,2024,2,3697717,1889167,1808550,1299165,1238989,305229,297440,34970,33560,113811,108059,7517,7134,128475,123368,1417307,1352401,376180,365676,58936,56658,161432,153657,16329,15511,1370972,1308861,881146,835647,265560,259001,12458,11891,105835,100468,4217,4055,101756,97799,975239,926051,322529,313855,27493,26409,145207,138208,10603,10141,518195,499689,418019,403342,39669,38439,22512,21669,7976,7591,3300,3079,26719,25569,442068,426350,53651,51821,31443,30249,16225,15449,5726,5370
R,1,2024,3,3667131,1874357,1792774,1283480,1224449,306791,297372,35220,33752,116734,110526,7067,6662,125065,120013,1398507,1334812,375987,363870,58437,56116,163062,154856,15608,14804,1366656,1304384,871840,828421,269405,261293,12893,12413,108952,102969,4309,4006,99257,95282,963631,916519,325045,314807,27505,26489,147345,139720,10524,9939,507701,488390,411640,396028,37386,36079,22327,21339,7782,7557,2758,2656,25808,24731,434876,418293,50942,49063,30932,29627,15717,15136,5084,4865
R,1,2024,4,3791726,1937163,1854563,1342719,1281487,304100,296968,36646,35139,121242,114368,7346,6905,125110,119696,1457718,1391495,373090,363157,59877,57534,167813,158648,15931,15023,1428449,1363726,928931,881712,268018,262138,14028,13609,113270,106766,4549,4259,99653,95242,1020998,969685,323607,315456,28776,27807,152051,143614,10880,10239,508714,490837,413788,399775,36082,34830,22618,21530,7972,7602,2797,2646,25457,24454,436720,421810,49483,47701,31101,29727,15762,15034,5051,4784
R,1,2024,5,3847789,1965734,1882055,1361806,1299711,308214,301364,37066,35450,124425,117261,7487,7021,126736,121248,1478285,1411127,378059,368364,60618,58141,171629,162141,16180,15256,1448649,1383027,940849,892894,271744,266045,14168,13750,116338,109562,4645,4346,100905,96430,1034053,981946,327974,319979,29094,28124,155676,146916,11056,10410,517085,499028,420957,406817,36470,35319,22898,21700,8087,7699,2842,2675,25831,24818,444232,429181,50085,48385,31524,30017,15953,15225,5124,4846
R,1,2024,6,3936087,2013565,1922522,1395772,1329686,314194,305671,37283,35023,130346,122344,7580,7143,128390,122655,1513699,1442413,384438,373388,61308,58088,178461,167657,16511,15534,1487324,1415845,963392,912949,278962,271515,14990,14299,122522,114842,4860,4515,102598,97725,1058055,1003188,335697,326157,30360,28982,162799,152603,11515,10698,526241,506677,432380,416737,35232,34156,22293,20724,7824,7502,2720,2628,25792,24930,455644,439225,48741,47231,30948,29106,15662,15054,4996,4836
R,1,2024,7,4047745,2069671,1978074,1446507,1377714,313854,307140,36706,35489,134728,126382,7670,7278,130206,124071,1566139,1491754,384227,374730,61389,59150,184022,172740,16815,15846,1529570,1458408,999471,947840,278680,272973,15783,15139,126789,118898,4923,4626,103924,98932,1095387,1039200,335364,327468,31633,30292,168055,157620,11732,10973,540101,519666,447036,429874,35174,34167,20923,20350,7939,7484,2747,2652,26282,25139,470752,452554,48863,47262,29756,28858,15967,15120,5083,4873
R,1,2024,8,4099196,2094909,2004287,1472631,1403423,318507,310808,35962,34771,130580,123368,7470,7280,129759,124637,1591921,1517998,388679,378839,60860,58602,179298,169695,16559,15916,1549399,1478516,1018528,966333,283715,276785,16102,15373,122748,115938,4726,4617,103580,99470,1114184,1058207,340313,331707,32132,30679,163491,154637,11487,11034,545510,525771,454103,437090,34792,34023,19860,19398,7832,7430,2744,2663,26179,25167,477737,459791,48366,47132,28728,27923,15807,15058,5072,4882
R,1,2024,9,4121299,2106001,2015298,1479836,1409670,320311,313004,35980,35198,133395,126502,7320,7180,129159,123744,1598540,1523392,389875,380303,60852,59076,182100,172536,16447,15790,1564842,1492908,1029388,975326,285057,278836,16332,15821,125982,119372,4745,4653,103338,98900,1124790,1066633,341169,333212,32454,31227,166871,157912,11571,11097,541159,522390,450448,434344,35254,34168,19648,19377,7413,7130,2575,2527,25821,24844,473750,456759,48706,47091,28398,27849,15229,14624,4876,4693
R,1,2024,10,4079917,2088593,1991324,1469793,1396623,320237,310792,36497,35030,127994,120839,7016,6730,127056,121310,1586505,1508017,388478,376919,61221,58601,175865,165805,16157,15264,1551336,1475883,1022219,967379,285361,277232,16745,15946,120906,114091,4592,4357,101513,96878,1115908,1056747,340380,330668,32813,31229,160971,151630,11362,10644,537257,515441,447574,429244,34876,33560,19752,19084,7088,6748,2424,2373,25543,24432,470597,451270,48098,46251,28408,27372,14894,14175,4795,4620
R,1,2024,11,4107137,2098832,2008305,1476533,1409085,320315,311446,36134,34904,132517,125142,7135,6921,126198,120807,1592369,1519949,387664,376603,60777,58644,180448,170345,16286,15613,1559666,1487257,1025909,973736,285957,278206,16831,16174,125502,118308,4679,4478,100788,96355,1118821,1062565,340158,330701,32827,31568,165709,156082,11477,10906,539166,521048,450624,435349,34358,33240,19303,18730,7015,6834,2456,2443,25410,24452,473548,457384,47506,45902,27950,27076,14739,14263,4809,4707
R,1,2024,12,4117951,2110879,2007072,1495322,1417694,321505,310745,36519,35160,125481,118250,6874,6625,125178,118598,1610275,1526533,388658,374636,61341,58819,172374,162434,15899,15140,1562372,1481302,1035064,976852,287653,278104,17019,16105,118561,111722,4432,4256,99643,94263,1126985,1063765,341620,329420,33118,31383,157690,148547,11098,10515,548507,525770,460258,440842,33852,32641,19500,19055,6920,6528,2442,2369,25535,24335,483290,462768,47038,45216,28223,27436,14684,13887,4801,4625
R,1,2024,13,4208662,2157586,2051076,1538076,1457685,327475,315751,34978,33684,123757,117327,6781,6424,126519,120205,1654442,1568135,395166,380584,60442,58188,170765,161449,15838,14907,1589390,1507191,1054886,995383,295538,284433,17194,16718,117086,111210,4503,4292,100183,95155,1147409,1083151,349694,336270,33541,32516,156237,147999,11185,10557,568196,543885,483190,462302,31937,31318,17784,16966,6671,6117,2278,2132,26336,25050,507033,484984,45472,44314,26901,25672,14528,13450,4653,4350
R,1,2024,14,4248548,2175389,2073159,1558411,1478095,329530,318871,35088,33597,121578,116371,6630,6499,124152,119726,1672696,1588126,396243,383919,59981,57687,167351,159920,15324,14936,1602432,1524760,1069221,1010318,297704,287996,17776,17114,115115,110201,4529,4375,98087,94756,1159945,1097762,351132,340095,33667,32620,153100,146472,10936,10585,572957,548399,489190,467777,31826,30875,17312,16483,6463,6170,2101,2124,26065,24970,512751,490364,45111,43824,26314,25067,14251,13448,4388,4351
R,1,2024,15,4426258,2267067,2159191,1628564,1543387,346205,335236,36154,34481,124461,119153,6846,6731,124837,120203,1743268,1653893,413422,400801,61318,58528,169872,162327,15732,15104,1672252,1592147,1119069,1058093,313165,303636,18333,17663,117917,112937,4679,4549,99089,95269,1210390,1146085,367348,356540,34502,32921,155880,148936,11237,10674,594815,567044,509495,485294,33040,31600,17821,16818,6544,6216,2167,2182,25748,24934,532878,507808,46074,44261,26816,25607,13992,13391,4495,4430
R,1,2024,16,4479736,2294540,2185196,1654460,1568354,346562,336061,36995,35881,127378,120902,6852,6718,122293,117280,1766719,1675920,412090,399768,62102,59884,171987,163116,15621,15006,1691034,1609656,1136309,1074871,313855,304486,18495,18214,120852,114874,4691,4504,96832,92707,1225577,1160163,366557,355669,34552,33503,158021,150011,11207,10608,603506,575540,518151,493483,32707,31575,18500,17667,6526,6028,2161,2214,25461,24573,541142,515757,45533,44099,27550,26381,13966,13105,4414,4398
R,1,2024,17,4443289,2275146,2168143,1646519,1563136,341849,330742,37158,35137,125189,119655,6663,6581,117768,112892,1754587,1666682,404210,391362,61686,58611,168533,160320,15214,14653,1680205,1600276,1134849,1075183,310222,299875,18478,17751,118767,113636,4607,4434,93282,89397,1220763,1157444,360416,348919,34149,32741,154956,147537,10902,10377,594941,567867,511670,487953,31627,30867,18680,17386,6422,6019,2056,2147,24486,23495,533824,509238,43794,42443,27537,25870,13577,12783,4312,4276
R,1,2024,18,4381318,2241543,2139775,1631631,1545845,329170,321673,36312,34875,126365,123919,6714,6679,111351,106784,1733668,1643584,387416,378082,60127,57438,167526,163251,14718,14271,1661987,1588583,1132065,1070439,298809,292443,18101,17822,120384,118261,4575,4625,88053,84993,1213023,1148441,345664,338096,33270,32279,154887,151326,10489,10308,579556,551192,499566,475406,30361,29230,18211,17053,5981,5658,2139,2054,23298,21791,520645,495143,41752,39986,26857,25159,12639,11925,4229,3963
R,1,2024,19,4374845,2236530,2138315,1630496,1547061,325619,317445,35913,33796,130926,129670,6721,6465,106855,103878,1728292,1641977,380811,371584,59123,56338,170834,167939,14492,13977,1669931,1598612,1140752,1080550,296168,289348,18119,17216,124973,124039,4756,4608,85163,82851,1218997,1156450,340718,333200,33221,31922,158592,156368,10557,10246,566599,539703,489744,466511,29451,28097,17794,16580,5953,5631,1965,1857,21692,21027,509295,485527,40093,38384,25902,24416,12242,11571,3935,3731
R,1,2024,20,4380090,2238107,2141983,1639150,1555129,322456,316090,34938,33427,131940,130817,6553,6310,103070,100210,1733423,1646764,374986,367645,57895,55723,170504,168007,14164,13643,1681833,1610044,1157496,1094367,293689,288838,17637,17225,126229,125314,4633,4512,82149,79788,1232863,1167577,336225,330513,32609,31885,158752,156533,10360,10016,556274,531939,481654,460762,28767,27252,17301,16202,5711,5503,1920,1798,20921,20422,500560,479187,38761,37132,25286,23838,11752,11474,3804,3627
R,1,2024,21,4351342,2222196,2129146,1625622,1544288,323216,318694,35094,33056,133234,131093,6492,6310,98538,95705,1715457,1631476,373150,367706,57688,55101,169961,166328,13940,13397,1673269,1604180,1149866,1088239,294761,292067,17734,17267,127587,125893,4633,4499,78688,76215,1221791,1157932,335259,331673,32544,31750,158585,155555,10288,9854,548927,524966,475756,456049,28455,26627,17360,15789,5647,5200,1859,1811,19850,19490,493666,473544,37891,36033,25144,23351,11376,10773,3652,3543
R,1,2024,22,4372686,2231624,2141062,1630363,1552812,328128,322944,34660,32563,135661,132556,6276,6150,96536,94037,1718278,1638407,377054,371039,57430,54963,171226,166739,13473,13200,1690349,1623992,1160842,1103201,300043,296659,17883,17243,130328,127397,4476,4347,76777,75145,1230921,1171816,339536,335726,32862,32154,160319,156284,9952,9708,541275,517070,469521,449611,28085,26285,16777,15320,5333,5159,1800,1803,19759,18892,487357,466591,37518,35313,24568,22809,10907,10455,3521,3492
R,1,2024,23,4461386,2276006,2185380,1654885,1575634,339045,334411,35015,33560,145033,142763,6386,6246,95642,92766,1741885,1659758,387047,381678,58205,55945,180375,176599,13550,13259,1733223,1667051,1183120,1125188,311316,307897,18350,17678,139548,137615,4655,4420,76234,74253,1252546,1192713,350088,346225,33740,32814,169495,166205,10130,9725,542783,518329,471765,450446,27729,26514,16665,15882,5485,5148,1731,1826,19408,18513,489339,467045,36959,35453,24465,23131,10880,10394,3420,3534
R,1,2024,24,4349740,2215092,2134648,1614752,1543070,329316,325494,34076,32907,139612,138405,6261,5972,91075,88800,1697493,1623404,375316,370860,56801,54937,172304,170216,13276,12828,1692802,1633020,1160397,1106825,302723,299896,18110,17658,134386,133424,4541,4265,72645,70952,1226541,1171097,339959,336775,33370,32563,162059,160220,9887,9510,522290,501628,454355,436245,26593,25598,15966,15249,5226,4981,1720,1707,18430,17848,470952,452307,35357,34085,23431,22374,10245,9996,3389,3318
R,1,2024,25,4370684,2221955,2148729,1619715,1550924,331065,328731,33763,32963,141090,142478,6263,5920,90059,87713,1701263,1630392,375795,373016,56451,55374,173675,173746,13429,12597,1704143,1650051,1169314,1116966,304613,303453,17940,17612,135805,137455,4577,4241,71894,70324,1234544,1180801,340809,339464,33271,32998,163376,163853,10106,9415,517812,498678,450401,433958,26452,25278,15823,15351,5285,5023,1686,1679,18165,17389,466719,449591,34986,33552,23180,22376,10299,9893,3323,3182
R,1,2024,26,4325245,2196138,2129107,1596572,1532291,326977,325179,33237,32264,147081,148920,6257,5905,86014,84548,1674394,1608655,369224,367230,55577,54306,178333,179345,12944,12368,1689926,1641471,1155770,1107351,301696,300701,17556,17505,141898,143956,4573,4295,68433,67663,1217774,1168507,335665,334794,32756,32683,168306,169746,9722,9278,506212,487636,440802,424940,25281,24478,15681,14759,5183,4964,1684,1610,17581,16885,456620,440148,33559,32436,22821,21623,10027,9599,3222,3090
R,1,2024,27,4373922,2218067,2155855,1615830,1551335,326179,326936,33254,32108,151829,156443,6370,6027,84605,83006,1692330,1626076,366969,367681,55783,54281,182734,186398,13097,12711,1711181,1669307,1173832,1126976,300998,302985,17736,17343,146807,151479,4611,4394,67197,66130,1234700,1186575,333614,335823,32905,32506,173130,176846,9816,9592,506886,486548,441998,424359,25181,23951,15518,14765,5022,4964,1759,1633,17408,16876,457630,439501,33355,31858,22878,21775,9604,9552,3281,3119
R,1,2024,28,4418746,2241807,2176939,1627751,1563077,335158,333338,33218,31929,156611,161854,6483,6411,82586,80330,1702018,1635156,374356,372492,56197,54153,186802,190738,13191,13079,1735155,1688439,1185768,1136641,309769,309107,17890,17186,151557,156815,4727,4678,65444,64012,1244607,1194175,341087,340509,33621,32516,177171,181275,9956,9918,506652,488500,441983,426436,25389,24231,15328,14743,5054,5039,1756,1733,17142,16318,457411,440981,33269,31983,22576,21637,9631,9463,3235,3161
